year,state,slavery_legal,GISJOIN,border_county,white_pop,Mean_household,Median_household,Gini_household,observations_hh,Pct_heads_farmers_planters,Pct_heads_unskilled_laborers,slope,elevation,ph,enslaved_per_white
1860,Pennsylvania,0,G4201210,0,24974,404.7292469160767,200,0.6437413311440663,4476,62.09312839059674,5.424954792043399,6.09939795940246,434.785296457485,49.156326310102635,0
1860,Iowa,0,G1901970,0,653,321.5092583638584,221.6904761904762,0.49294558089403984,125,70.39999999999999,0,0.557259631358892,357.560837056383,67.1899007148096,0
1860,Georgia,1,G1302910,0,4295,192.9622846442031,73.88888888888893,0.7095523475315845,748,89.27613941018767,0.8042895442359249,12.652216662407,716.621416417297,50.9338115922952,2.70081490104773
1860,Texas,1,G4801810,0,6892,887.4378005652061,300,0.7138678337814538,1216,57.80346820809249,7.762180016515277,1.56816558308484,217.30549028575,65.12834283903673,18.746372605919905
1860,Louisiana,1,G2200710,0,149063,680.3656476968845,33.333333333333336,0.9060218463102551,32115,0.3958587088915956,16.4535119772635,0.0954332013626738,0.291690635985938,55.952977184195866,9.7166969670542
1860,Texas,1,G4802450,0,1684,1353.3962328748041,241.66666666666669,0.8250756844319442,259,30.501930501930502,14.285714285714285,0.0569089814317564,4.54950115118956,56.52472406181017,18.34916864608076
1860,Louisiana,1,G2201130,0,3001,1390.0123859704308,325,0.7794613380481009,663,53.64341085271318,18.91472868217054,0.032583128434979,1.37187568700115,59.075113202060464,43.85204931689437
1860,Ohio,0,G3900110,0,17123,425.2767599886452,250,0.5972568911791618,3172,48.23378291586384,6.13359023763648,0.471250328706074,282.638517279822,64.1090442377571,0
1860,Missouri,1,G2900050,1,4578,565.711158061611,283.4,0.6227124702277363,828,74.50980392156863,6.127450980392156,2.7669881832651,304.682744464587,67.18233277813987,1.2887723896898209
1860,Virginia,1,G5101450,0,2580,3115.9545015542144,805,0.7405022761669993,522,59.471365638766514,0.4405286343612335,2.30462748255573,85.1112059325525,52.1822617454946,209.4186046511628
1860,Kentucky,1,G2101070,0,9836,696.9873012464834,250,0.6972275042354222,1718,72.15041128084606,10.282021151586369,2.79307320168333,133.822183208979,54.48960255010477,20.424969499796667
1860,Iowa,0,G1901730,1,3590,340.1895025809241,214.28571428571428,0.5669626785315207,666,53.951367781155014,2.2796352583586628,2.94810028958426,361.947429206638,63.48092021179477,0
1860,Washington Territory,0,G5350055,0,2367,1377.1245421493188,500,0.714611887493797,448,46.96629213483146,4.044943820224719,10.8041830329283,375.463095497273,52.576285718301534,0
1860,Tennessee,1,G4701510,0,3446,286.2297287094457,101.78571428571435,0.7279202812299093,583,81.03448275862068,1.206896551724138,13.689521513292,470.975876631218,51.810575239299034,1.7121300058038307
1860,North Carolina,1,G3700610,0,8289,1656.9613363275757,221.66666666666666,0.81095282257622,1684,58.002481389578165,10.173697270471465,0.465447529548315,29.4805294591804,49.71399038128847,85.9452286162384
1860,Texas,1,G4802170,0,3003,937.5197481979587,338.3333333333333,0.6861180940716064,584,39.61937716262976,0,1.19345666716611,190.293549233656,71.08269242507477,21.645021645021643
1860,Virginia,1,G5101050,0,10185,529.85160176962,60.666666666666664,0.8098327202954867,1708,71.48784825133373,6.283343212803794,13.8070861011347,536.293642945435,52.04145339652447,8.090328915071183
1860,Tennessee,1,G4700590,0,17485,624.839344036705,187.5,0.7419060737780439,3164,65.42416452442158,4.916452442159383,8.54909243871339,455.209812725044,57.389916877068,7.417786674292251
1860,Indiana,0,G1800430,1,19426,446.6974125588562,112.01923076923087,0.7774366759924779,3751,22.44672017713811,14.641572100747302,5.62262417994377,223.503827128352,56.7240332843857,0
1860,New York,0,G3600750,0,75623,486.46147708614177,190,0.6970228221434016,15098,35.1479527085699,19.177075679647317,1.78096078110459,174.696746136227,56.66427283095936,0
1860,New Jersey,0,G3400310,0,28454,419.42075281990475,28.571428571428573,0.8407260531413476,5738,11.412752277192356,15.520628683693516,5.36568260411836,180.510913437047,48.20439674245633,0.007028888732691362
1860,Maryland,1,G2400190,0,11654,603.1538360589044,150,0.753880302160318,3073,48.855674918262494,18.26249416160673,0.111828767278212,3.70173128956926,49.9274465388453,35.378410846061435
1860,Maryland,1,G2400390,0,15332,574.3848957191886,90.45454545454528,0.8074100791090877,3451,37.897042716319824,9.309967141292443,0.130753005190927,4.60121897519413,49.077367300131066,33.1920166971041
1860,Virginia,1,G5100350,0,7719,275.25801605457735,59.75,0.7938718144894245,1345,61.98347107438017,14.951164537941397,10.2657264521948,751.323902845157,52.24150026595363,3.3942220494882753
1860,North Carolina,1,G3701510,0,14716,467.5657737300867,150,0.7428012118223567,2882,58.10135617416131,11.527480371163454,4.06965668961033,195.541444484088,52.02656006868057,11.178309323185648
1860,North Carolina,1,G3701570,0,10019,1154.2321175271757,100,0.8457688759060846,1978,44.39178515007899,15.060558188520274,4.40432192461161,218.46969737854,53.4091235632184,63.06018564727018
1860,Indiana,0,G1800590,0,12709,499.9956734960148,293.25,0.6182873102919134,2344,55.89123867069487,14.372032801035822,0.350248608551137,271.775972309629,66.94531496240263,0
1860,Ohio,0,G3900330,0,23841,512.5535263910433,275,0.623834372131754,4414,45.185522422035056,10.607785112679261,0.515060599525555,310.092510590987,59.509380077798035,0
1860,Missouri,1,G2902070,0,7659,240.33869256904376,75,0.7242940839480982,1495,35.3494623655914,3.1586021505376345,0.869460954812956,103.752421552869,60.164781514642335,2.8071549810680247
1860,Minnesota,0,G2701535,0,40,680.3952991452992,358.33333333333337,0.6638909858820355,39,36.84210526315789,13.157894736842104,0.286228377022252,313.308747796931,73.70250809224827,0
