coef,se,p_value,n_treat,n_control,bw_left,bw_right,spec_suffix,bw_method,kernel
0.03861287407592684,0.0861712894823748,0.6540850541787526,348,394,125.29331825155211,125.29331825155211,_no_controls,mserd,triangular
0.13864886184460493,0.07294077085452741,0.05732274491653485,383,436,140.70686903862656,140.70686903862656,_geo,mserd,triangular
0.033849259557641204,0.06494554460121132,0.6022312968590788,415,461,153.5036199567529,153.5036199567529,_geo_enslaved,mserd,triangular
0.2184515213529041,0.12508438406540737,0.08073570484066067,241,284,109.19749160519397,109.19749160519397,_geo_noborder,mserd,triangular
0.08801973142115806,0.10725114225469372,0.41182397598527726,250,298,116.09078832870367,116.09078832870367,_geo_noborder_enslaved,mserd,triangular
0.08176927318708849,0.08444776703761861,0.33290343109280407,419,339,102.16280717658499,154.51033008397692,_no_controls,msetwo,triangular
0.12281161958447948,0.0788738478945902,0.11945531979170616,316,408,129.25872673088395,109.64271745605693,_geo,msetwo,triangular
0.054982482350689046,0.06729926562693941,0.4139370696538057,433,404,126.63635125589742,162.1575237158916,_geo_enslaved,msetwo,triangular
0.22254781570594606,0.1264071479592285,0.07831230445747406,222,315,120.1274327169043,101.36192479003913,_geo_noborder,msetwo,triangular
0.08872662810788061,0.1063466250526031,0.40410327025290055,249,311,119.54043460838942,115.61283788349654,_geo_noborder_enslaved,msetwo,triangular
0.045991402039161855,0.09314387148000243,0.6214704983234625,301,346,104.1147831328225,104.1147831328225,_no_controls,msesum,triangular
0.1372347202422091,0.07988229300181905,0.08580360060956073,322,366,114.72342970902575,114.72342970902575,_geo,msesum,triangular
0.02576090171356378,0.06930777881633136,0.7101248165232485,366,414,132.6517241356503,132.6517241356503,_geo_enslaved,msesum,triangular
0.22713116257740007,0.11590972721886977,0.0500481513609849,261,316,120.97821524268667,120.97821524268667,_geo_noborder,msesum,triangular
0.09588975993107857,0.10415414583670687,0.3572319572600429,260,315,120.92715124072227,120.92715124072227,_geo_noborder_enslaved,msesum,triangular
0.07080000800943864,0.10132407043013002,0.4847094293683854,259,285,85.66016652722774,85.66016652722774,_no_controls,cerrd,triangular
0.13706406112001487,0.08672690412323295,0.11401301726450383,280,315,96.21484747256972,96.21484747256972,_geo,cerrd,triangular
-0.0026902171127603236,0.0766553975833322,0.9720040306697888,302,347,104.97309012679383,104.97309012679383,_geo_enslaved,cerrd,triangular
0.260929868061043,0.17795955023346477,0.1425852759911677,162,176,74.95007418422207,74.95007418422207,_geo_noborder,cerrd,triangular
0.08618142545781315,0.15008274102020597,0.5658148168500168,168,199,79.68788013708307,79.68788013708307,_geo_noborder_enslaved,cerrd,triangular
0.12034411964087965,0.09963683963398037,0.227113603041804,305,234,69.84636689137187,105.63516706132438,_no_controls,certwo,triangular
0.12716256609034418,0.0942287406840444,0.17717342087127824,236,292,88.38664922248036,74.97329312058399,_geo,certwo,triangular
0.024011587213473976,0.07963603380727534,0.763020583498383,315,290,86.59997150203259,110.89104189570067,_geo_enslaved,certwo,triangular
0.2603004200672837,0.17895479751974533,0.14579122020939908,144,204,82.45207707009149,69.57196242141167,_geo_noborder,certwo,triangular
