point_id,coef,se,p_value,n_treat,n_control,bw_left,bw_right
1,0.10897281100034359,0.18031732999075226,0.5456182229530107,29,104,164.66152670370914,164.66152670370914
2,0.16259276103456832,0.1267162604275821,0.1994483987244308,37,105,162.9117016357035,162.9117016357035
3,0.20191690030591813,0.0971941035650249,0.03775908742728326,48,124,176.07324080961345,176.07324080961345
4,0.10896661625462958,0.10012847987028808,0.27647683181997856,30,45,116.54987203000977,116.54987203000977
5,-0.04499781350110199,0.1640049906704453,0.7838013999792389,27,55,122.84236376089959,122.84236376089959
6,-0.20960473938959034,0.28205197439124596,0.45739556140034116,19,54,115.21468454682457,115.21468454682457
7,-0.030540312416084625,0.23637786893657592,0.8971984196064494,27,48,118.72596061900569,118.72596061900569
8,0.1475689475864319,0.24478464823755813,0.546607061039835,29,28,107.18196020150515,107.18196020150515
9,0.04337474372685879,0.1587069920352671,0.7846220205801145,25,32,104.98240478046074,104.98240478046074
10,-0.010792112071570215,0.14026836219501645,0.9386720461496831,27,30,105.86445198708584,105.86445198708584
11,-0.05366299900930127,0.15775846745209454,0.7337366182198203,17,25,92.00679821224537,92.00679821224537
12,-0.14356864190005084,0.22782692896162593,0.5285863912795814,34,26,114.3335302434692,114.3335302434692
13,0.15153396546178385,0.1334541768541573,0.2561760873252781,149,86,213.50608764281037,213.50608764281037
14,0.23896673343886632,0.15744862207576568,0.12907889604672565,195,97,234.56144816065526,234.56144816065526
15,0.3911668897097216,0.17679061849638142,0.0269252478320525,146,56,197.41901549297023,197.41901549297023
16,0.47769843507961657,0.167177382486421,0.004270806505485624,141,51,190.35242025689544,190.35242025689544
17,0.5661156482788658,0.12352498200251534,4.583403992692028e-6,152,63,194.7452480584749,194.7452480584749
18,0.5471191074425609,0.10731569977999121,3.4286118798553496e-7,94,47,156.27028268354138,156.27028268354138
19,0.5037479195521481,0.07764233732121137,8.69503171866225e-11,100,63,161.46740682348414,161.46740682348414
20,0.433016304049459,0.09860000698067155,1.1249587170538133e-5,58,60,136.97124243740868,136.97124243740868
21,0.4002904834650482,0.09922879227068389,5.483170480947478e-5,56,59,130.44890848085493,130.44890848085493
22,0.3137480370516351,0.17737208519476658,0.07691568768546735,42,40,106.09610972269925,106.09610972269925
23,0.2321288683873396,0.2307770234201624,0.3144839799542907,54,37,106.51560514243904,106.51560514243904
24,0.3507939951682078,0.2122450195524419,0.09837596076029873,47,39,104.57186428646415,104.57186428646415
25,0.024919199209965548,0.22274028449874156,0.9109220569007189,45,21,88.90630158624604,88.90630158624604
26,0.35503862382688856,0.12946582733746453,0.006100415577185588,40,31,91.20972927407784,91.20972927407784
27,0.5971903928874467,0.10712404123525276,2.478770278511939e-8,36,40,94.49449381742127,94.49449381742127
28,0.149485700771687,0.154829186745263,0.334300511756639,48,80,125.6034981740511,125.6034981740511
29,0.07623755546916144,0.13271513530504989,0.5656666600989191,54,96,141.77694591117645,141.77694591117645
30,-0.06435452614031156,0.08705522815629647,0.45976253604539136,84,91,155.78988249812846,155.78988249812846
31,-0.029206434688410887,0.14530097361421906,0.8406935209411213,81,66,145.71143745623178,145.71143745623178
32,0.06243824679033727,0.18116186856092978,0.7303541549148604,87,60,148.48531418247973,148.48531418247973
33,0.15257534963010275,0.17659432081068574,0.38759455861692454,124,49,159.233772915989,159.233772915989
34,0.08328967961078143,0.13423494151546136,0.5349438614886086,134,86,186.72622637442805,186.72622637442805
35,0.12378617125771098,0.12005159830167032,0.302490146057722,144,90,194.5342810879626,194.5342810879626
36,0.0662881476055995,0.09138320189719186,0.46821490828975376,141,107,202.09023092237973,202.09023092237973
37,0.05452739337928625,0.10661082214392387,0.6090275309455191,152,118,216.9026799178114,216.9026799178114
38,-0.010357916647670606,0.09934175016979509,0.9169586604914419,107,109,205.46463976139148,205.46463976139148
39,-0.06010915047934179,0.11807304672371824,0.6106930402674975,85,123,210.45561811303284,210.45561811303284
40,-0.032501038747931754,0.1807753483539422,0.8573198714898457,43,102,182.6596023733716,182.6596023733716
41,-0.005800045710218804,0.10636720176028189,0.9565140895447606,88,104,200.76681732405606,200.76681732405606
42,0.09246606350219341,0.11966146932574014,0.4396819096625273,75,74,168.12738055560462,168.12738055560462
43,0.19342136613343838,0.19430134784786063,0.31950721919093245,67,50,147.60317674812126,147.60317674812126
44,0.18109298252947378,0.134382127389192,0.17778796224373733,91,63,168.1258120128046,168.1258120128046
45,0.2800499909038766,0.11880253417697377,0.018409713410858515,105,81,186.02679334533298,186.02679334533298
46,0.3446443079991241,0.12651791190344935,0.006448181972930196,104,90,194.59475694916915,194.59475694916915
47,0.1906854873008076,0.17549299747529273,0.2772267355411998,86,88,192.10701553407776,192.10701553407776
48,-0.1748893964426475,0.22683655917606885,0.4407110881180819,61,84,184.6863297272175,184.6863297272175
49,-0.16281528512841753,0.19839590081036146,0.4118408077111973,67,72,181.93787459028854,181.93787459028854
50,-0.1320258331480255,0.24696953217788226,0.5929379062613536,71,56,174.82761318501673,174.82761318501673
