coef,se,p_value,n_treat,n_control,bw_left,bw_right,spec_suffix,bw_method,kernel
0.3333795942092319,0.0653430022889214,3.3609371943154887e-7,359,413,129.67602418723655,129.67602418723655,_no_controls,mserd,triangular
0.4025910357708993,0.057735691521905164,3.102503792171711e-12,379,433,138.83242426033692,138.83242426033692,_geo,mserd,triangular
0.19215404174204034,0.05760812842233342,8.513483505553768e-4,246,272,81.25082711000576,81.25082711000576,_geo_enslaved,mserd,triangular
0.41607610261489164,0.10253859172670572,4.954749257875155e-5,280,338,127.56029110880915,127.56029110880915,_geo_noborder,mserd,triangular
0.16609652147442192,0.10549483949062043,0.11538307679669203,156,174,73.1484761129087,73.1484761129087,_geo_noborder_enslaved,mserd,triangular
0.3469694582010874,0.06635591092097749,1.7050717068007673e-7,371,368,113.72846229700994,134.35663541104992,_no_controls,msetwo,triangular
0.4236194291480476,0.06113693522179686,4.237471715452073e-12,343,368,113.96121804408978,122.75631090005297,_geo,msetwo,triangular
0.1892923855681913,0.05045184058139616,1.754699821126132e-4,297,362,111.03814642292593,102.41473861544708,_geo_enslaved,msetwo,triangular
0.43627174813532044,0.10624568814829438,4.021278407435088e-5,262,319,120.5635314981816,120.74075681403117,_geo_noborder,msetwo,triangular
0.0966562794577292,0.07999835606339778,0.22695945081553603,184,301,116.37075276102432,85.09860715530573,_geo_noborder_enslaved,msetwo,triangular
0.3608668819773584,0.07000301534649361,2.536050626641505e-7,306,352,106.18763243409254,106.18763243409254,_no_controls,msesum,triangular
0.4310670483948845,0.06401980333691208,1.6581294616911162e-11,298,343,102.45461520862018,102.45461520862018,_geo,msesum,triangular
0.19443923654652184,0.05428055833951817,3.408228639977113e-4,274,307,92.70833144429432,92.70833144429432,_geo_enslaved,msesum,triangular
0.45516878068668937,0.11598492967081088,8.695387999277137e-5,228,278,104.14446971427158,104.14446971427158,_geo_noborder,msesum,triangular
0.14138275468237987,0.08863492844981932,0.1106868981442763,188,222,87.41138329137912,87.41138329137912,_geo_noborder_enslaved,msesum,triangular
0.3733334932288912,0.07508347292941073,6.618167252560922e-7,268,294,88.55838028695901,88.55838028695901,_no_controls,cerrd,triangular
0.43630685854139517,0.06603016001013737,3.903618040209601e-11,279,312,94.82765590665745,94.82765590665745,_geo,cerrd,triangular
0.2379090723606965,0.06978951130906745,6.521302764146455e-4,182,196,55.501375454391685,55.501375454391685,_geo_enslaved,cerrd,triangular
0.45041246087134995,0.13078419057771115,5.733101182845414e-4,189,222,87.45132537448873,87.45132537448873,_geo_noborder,cerrd,triangular
0.22330511039527004,0.1639594533036156,0.17321263919694851,95,99,50.15225587412855,50.15225587412855,_geo_noborder_enslaved,cerrd,triangular
0.3910138644051937,0.07673251277657714,3.4726381948461856e-7,274,267,77.667467650053,91.75486438131537,_no_controls,certwo,triangular
0.4418008705197108,0.0709464309731911,4.747057969897344e-10,254,267,77.83970660286072,83.84707875281639,_geo,certwo,triangular
0.206142411092208,0.060510786702634545,6.575210634204765e-4,218,253,75.84870300501356,69.95816611520168,_geo_enslaved,certwo,triangular
0.4331258240169575,0.13657084671947947,0.0015168681331460987,178,206,82.65456694788607,82.77606705286573,_geo_noborder,certwo,triangular
0.12511310997588623,0.11094940608523764,0.2594639071846871,116,200,79.78642999653556,58.34553701429297,_geo_noborder_enslaved,certwo,triangular
0.389692378057898,0.08220734540129966,2.133392539853421e-6,229,243,72.51768238431052,72.51768238431052,_no_controls,cersum,triangular
0.45414238198841506,0.0753069338979728,1.6340056627753958e-9,219,235,69.98027333178004,69.98027333178004,_geo,cersum,triangular
0.21810392448351074,0.0654220732867337,8.56690960571894e-4,200,210,63.327846549470046,63.327846549470046,_geo_enslaved,cersum,triangular
0.45234072782673,0.15447670864238539,0.0034091625674707057,149,167,71.39817436734742,71.39817436734742,_geo_noborder,cersum,triangular
0.16895636941600273,0.12876517290854816,0.18947700077522506,119,135,59.93122883891681,59.93122883891681,_geo_noborder_enslaved,cersum,triangular
0.2704425972358546,0.06494943037344446,3.128642715830546e-5,372,423,135.18265216433787,135.18265216433787,_no_controls,mserd,uniform
0.39662188987081726,0.0636322219484867,4.574828347688035e-10,326,373,115.75905714498242,115.75905714498242,_geo,mserd,uniform
0.19489146667782287,0.06042190007720032,0.0012574826999078314,204,213,64.02197012205427,64.02197012205427,_geo_enslaved,mserd,uniform
0.4315164499576239,0.11877014704045445,2.799210021694838e-4,228,278,104.26122469495266,104.26122469495266,_geo_noborder,mserd,uniform
0.13555965285335775,0.12430892743339031,0.27549023513491516,112,125,56.09215938052004,56.09215938052004,_geo_noborder_enslaved,mserd,uniform
0.3536938537899381,0.07157143753844296,7.739281475179596e-7,319,311,94.6202009594,111.37246270777922,_no_controls,msetwo,uniform
0.3842641364615246,0.062399846184480044,7.362551853459554e-10,391,331,100.49763619067447,143.4772201656892,_geo,msetwo,uniform
0.18760471812927185,0.05553097062109575,7.291425904975825e-4,199,297,90.12904693136656,62.15776218574293,_geo_enslaved,msetwo,uniform
0.42005976521922217,0.11508416104044276,2.62217445057317e-4,276,222,88.93195914746514,125.61395383187934,_geo_noborder,msetwo,uniform
0.08739290166846733,0.10240073062589329,0.3934152276341818,114,208,83.52499903536345,57.12294456849575,_geo_noborder_enslaved,msetwo,uniform
0.35183536667704907,0.07375265534402455,1.837899159259808e-6,278,311,94.68178446111254,94.68178446111254,_no_controls,msesum,uniform
0.3720270475482387,0.05535230286222264,1.8038717412416882e-11,487,531,184.35384754329746,184.35384754329746,_geo,msesum,uniform
